version_folder,version,files,note,summary
亂世演算_V1_DEMO,1.0.0,17,,
亂世演算_V2_全面優化版,2.0.0,2,亂世演算_V2_全面優化說明.txt,戰爭期限屆滿不再一律和局；依剩餘兵力、對手損耗、城防判勝負，真正接近才算和。；新增 wars_drawn 和局統計；UI 顯示勝／敗／和／戰中。；戰敗求和會支付少量糧／木／金賠款，資源只搬移、不憑空生成。；戰後 4 回合休戰，避免同一對國家立刻重開戰。
亂世演算_V3_事件政變整合版,3.0.0,2,亂世演算_V3_事件政變版_說明.txt,動態事件：邊境爭議、聯盟峰會、外交醜聞、軍備競賽、邊境集結、戰爭疲勞、商路繁榮、金屬短缺、豐收、王位危機、民族團結、戰爭英雄、聯盟爭執、共同防禦協議、天下震動。；政治穩定度 0~100：戰爭、飢荒、疲勞會降低；和平、勝利、峰會等可提高。；戰爭疲勞 0~100：每個持續戰爭回合增加，第二戰線增加更多；和平會逐步恢復。；動態戰略模式：正常發展、糧荒求生、戰後復甦、全面防禦、戰時動員、報復模式、擴張模式、霸權維持。
亂世演算_V4_世界局勢整合版,4.0.0,2,亂世演算_V4_世界局勢版_說明.txt,群雄割據；宣戰權重提高；結盟意願降低；背叛增加
亂世演算_V5_0_聯盟議會整合版,5.0.0,3,亂世演算_V5_聯盟議會版_說明.txt,
亂世演算_V5_1_聯盟議會入盟投票整合版,5.1.0,1,亂世演算_V5_1_入盟投票版_說明.txt,新國家申請加入現有普通聯盟時，由現有存活盟員投票。；申請國本身沒有投票權。；贊成票必須取得全體現有存活盟員「嚴格過半」。；2 名盟員需要 2 票；3 名盟員需要 2 票；4 名盟員需要 3 票。
亂世演算_V6_0_政權世系版,6.0.0,2,亂世演算_V6_政權世系版_說明.txt,V5.2 斷點續跑；聯盟開戰投票；入盟投票；共同防禦
亂世演算_V6_3_世代分流版,6.3.0,2,亂世演算_V6_3_世代分流版_說明.txt,country_generation（國家世代）；正統／合法交接；軍事政變；宮廷政變
亂世演算_V6_4_戰力權重投票版,6.4.0,2,亂世演算_V6_4_戰力權重投票版_說明.txt,聯盟主動開戰表決；新國家申請入盟表決；每國投贊成 / 反對 / 棄權；每國實際票權
亂世演算_V6_5_0_國家編年史版,6.5.0,2,亂世演算_V6_5_國家編年史版_說明.txt,正式採用「1 Game Loop = 1 年」的顯示概念。；UI 國家編年史頁會顯示「世界曆：第 X 年」。；國家詳細頁會顯示「本政權存續 X 年」。；國家世代
亂世演算_V6_5_1_國家編年史快捷鍵版,6.5.1,2,亂世演算_V6_5_1_編年史快捷鍵版_說明.txt,左側先選擇任何國家。；在基本狀態右側按「📜 編年史」。；右側畫面立即切換到「📜 國家編年史」頁。；編年史會自動切換成左側目前選取的同一個國家。
亂世演算_V6_5_2_國家編年史右側切換版,6.5.2,2,亂世演算_V6_5_2_國家編年史右側切換版_說明.txt,右半側直接切換成國家編年史；左半側國家詳細資訊不消失；自動顯示目前左側正在查詢的同一個國家；右半側回到「即時戰局」
亂世演算_V6_6_1_左側國家詳情版,6.6.1,2,亂世演算_V6_6_1_左側國家詳情版_說明.txt,🌐 國家總覽；🤝 聯盟總覽；🔍 國家詳細查詢；🛡️ 聯盟詳細查詢
亂世演算_V6_6_2_編年史政權修正版,6.6.2,2,亂世演算_V6_6_2_編年史政權修正版_說明.txt,先關閉舊世代編年史；再切換新政權類型；再建立新世代；軍事政變後的下一代 → 軍事政權
亂世演算_V6_6_3_滅國人口分配版,6.6.3,2,亂世演算_V6_6_3_滅國人口分配版_說明.txt,先找勝方中現有士兵 / 戰力最高的國家。；所有生還人口全部交給該國。；正式宣戰第一波實際 deployment 會記錄。；持續戰爭每一回合，各國此戰線「有效兵力」也會累加。
亂世演算_V6_6_4_國際忌憚版,6.6.4,2,亂世演算_V6_6_4_國際忌憚版_說明.txt,
亂世演算_V7_0_自主學習版,7.0.0,2,亂世演算_V7_自主學習版_說明.txt,好戰狂魔；和平主義；投機政客；擴張主義
亂世演算_V8_0_世界市場版,8.0.0,2,亂世演算_V8_0_世界市場版_說明.txt,金幣成為第四項資產／共同交易媒介，由「世界銀行」統一發行。各國不可自行印鈔。；新局每國由世界銀行配發 350～450 金幣；舊 V7 存檔第一次升級時亦會一次性補發。；世界銀行收取 1% 市場交易手續費，並回收政策支出；亡國重建時提供 120 金幣重建援助，優先使用銀行庫存，不足才新增發行。；世界市場取消固定物資換算。AI Action 8 改為掛買單／賣單。
亂世演算_V8_2_長週期市場版,8.2.0,2,亂世演算_V8_2_長週期市場版_說明.txt,每 10 Turn 正常檢查一次。；流通率低於 72% 時立即檢查。；目標讓各國流通金幣約維持累計發行量的 82%。；每次最多動用當時世界銀行準備金的 50%。
